123185040,0.00,0.00,0,999,999,999,999,-1.47,9.45,2,0.21,9.46,3,2.36,9.34,2,999,999,0,999,999,0,999,999,0,0,0,0,0,0,0,0,0,None,None,False
123185041,0.00,0.00,0,999,999,999,999,0.79,8.96,2,-1.52,9.01,2,0.21,9.34,3,2.22,9.02,2,999,999,0,999,999,0,0,0,0,0,0,0,0,0,None,None,False
123185041,0.00,0.92,0,999,999,999,999,0.82,8.42,2,-1.56,8.60,2,0.22,9.22,3,2.09,8.72,2,999,999,0,999,999,0,0,0,0,0,0,0,0,0,UpArrow,None,False
123185041,0.89,1.89,0,999,999,999,999,0.91,7.85,2,-1.59,8.17,2,0.24,9.10,3,1.96,8.40,2,999,999,0,999,999,0,0,0,0,0,0,0,0,0,UpArrow,RightArrow,False
123185041,1.48,2.65,1,999,999,999,999,1.01,7.29,2,-1.57,7.73,2,0.27,8.98,3,1.86,8.06,2,999,999,0,999,999,0,0,0,0,0,0,0,0,0,UpArrow,RightArrow,True
123185042,1.83,2.64,2,999,999,999,999,-1.86,9.50,2,-1.49,7.33,2,0.29,8.87,3,1.81,7.74,2,999,999,0,999,999,0,0,0,0,0,0,0,0,0,None,RightArrow,True
123185042,1.72,2.64,4,999,999,999,999,-0.60,9.47,3,-1.74,9.13,2,-1.35,6.92,2,0.30,8.75,3,999,999,0,999,999,0,0,0,0,0,0,0,0,0,None,None,True
123185042,1.64,2.64,4,999,999,999,999,-1.57,9.46,2,-0.59,9.34,3,-1.61,8.79,2,-1.19,6.54,2,0.30,8.63,3,999,999,0,0,0,0,0,0,0,0,0,None,None,False
123185042,0.82,3.05,4,999,999,999,999,-1.56,9.12,2,-0.60,9.20,3,-1.47,8.43,2,-1.01,6.15,2,0.28,8.51,3,999,999,0,0,0,0,0,0,0,0,0,UpArrow,LeftArrow,False
123185043,0.44,2.25,4,999,999,999,999,-1.59,8.80,2,-0.62,9.06,3,-1.34,8.08,2,-0.85,5.77,2,0.25,8.40,3,999,999,0,0,0,0,0,0,0,0,0,DownArrow,LeftArrow,False
123185043,-0.24,2.20,5,999,999,999,999,-1.63,8.46,2,-0.65,8.92,3,-1.25,7.71,2,-0.74,5.34,2,0.22,8.28,3,999,999,0,0,0,0,0,0,0,0,0,DownArrow,LeftArrow,True
123185043,-0.93,2.20,7,999,999,999,999,-1.65,8.12,2,-0.67,8.78,3,-1.21,7.32,2,-0.72,4.91,2,0.19,8.16,2,999,999,0,0,0,0,0,0,0,0,0,None,LeftArrow,True
123185043,-0.96,1.61,8,999,999,999,999,0.74,9.33,2,-1.64,7.80,2,-0.68,8.65,1,-1.23,6.96,2,0.17,8.05,1,999,999,0,0,0,0,0,0,0,0,0,DownArrow,None,True
